TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
AALR3,19.76,0.0,-72.39,2.02,0.92,31.73,5.79,-2.87,35.85,46.28,10.43,0.59,2.07,-29.46,-1.12,0.85,-2.79,-1.27,2.7,0.46,0.53,0.44,3.62,0.0,8615838.44,9.8,-0.27,1.43,2337466044.16
ABCB4,15.56,6.53,5.64,0.73,0.08,37.27,26.57,19.79,4.2,4.2,0.0,0.0,1.12,-2.2,-0.08,0.18,12.94,1.4,0.0,0.11,0.89,0.07,7.15,9.74,12261742.82,21.31,2.76,0.08,3517962236.08
ABEV3,13.03,4.63,15.25,2.6,1.61,50.27,22.97,18.03,11.97,11.31,-0.66,-0.14,2.75,157.79,-2.21,1.04,17.05,10.56,20.02,0.62,0.37,0.59,9.82,1.41,298743687.71,5.01,0.85,3.61,205225325568.53
AERI3,2.8,0.74,45.27,2.16,0.69,11.08,8.41,2.02,10.87,14.58,3.71,0.73,0.91,1.74,-1.9,2.65,4.76,1.53,7.66,0.32,0.68,0.76,0.0,0.0,8382867.41,1.3,0.06,-0.75,2145397676.8
AESB3,10.74,0.56,10.95,1.62,0.42,22.78,14.53,25.41,19.15,34.49,15.34,1.3,2.78,2.83,-0.54,2.91,14.79,3.81,-2.7,0.26,0.64,0.15,0.0,0.0,17336808.26,6.63,0.98,0.0,5285223756.3
AGRO3,27.12,17.1,3.44,1.12,0.79,39.85,35.81,58.48,5.62,5.76,0.14,0.03,2.01,1.95,-1.63,4.91,32.67,23.09,14.65,0.71,0.29,0.39,55.29,151.67,21251768.03,24.12,7.88,0.01,2776464456.96
AGXY3,8.4,2.0,16.19,1.02,0.16,11.21,3.14,1.04,5.36,9.2,3.84,0.73,0.17,3.97,-0.91,1.05,6.32,0.99,7.19,0.16,0.84,0.95,0.0,0.0,620535.79,8.2,0.52,0.0,1434929907.6
ALLD3,11.45,11.63,4.04,0.7,0.27,13.72,6.66,4.42,2.68,3.41,0.73,0.19,0.18,1.18,-0.89,1.48,17.24,6.66,19.9,0.39,0.61,1.51,0.0,0.0,1134282.0,16.45,2.84,0.14,1067375663.9
ALPA4,20.07,2.17,23.2,2.54,1.54,48.45,13.31,14.87,25.92,20.98,-3.05,-0.3,3.45,9.22,-3.24,1.47,10.93,6.65,8.79,0.61,0.38,0.45,-0.53,10.32,112750469.32,7.91,0.87,0.16,12710897369.88
ALPK3,2.1,0.0,-2.22,0.88,0.18,26.64,0.11,-22.18,431.73,1664.34,1232.6,2.51,0.49,-0.86,-0.19,0.29,-39.61,-8.01,-0.09,0.2,0.8,0.36,0.0,0.0,1047287.53,2.39,-0.94,0.61,450295698.3
ALSO3,17.16,2.24,15.78,0.67,0.39,69.41,55.68,28.66,8.13,4.88,-3.24,-0.27,4.52,2.7,-0.49,3.64,4.23,2.48,6.45,0.58,0.32,0.09,22.33,24.57,42742537.29,25.69,1.09,0.09,4560660870.48
ALUP11,26.41,4.66,6.33,1.09,0.29,78.2,77.23,24.89,2.04,4.14,2.1,1.13,1.58,3.91,-0.35,1.78,17.26,4.6,15.12,0.27,0.6,0.18,27.49,31.52,26302954.68,24.17,4.17,0.5,7739109538.1
AMAR3,1.99,0.0,-4.58,0.62,0.2,44.23,-0.85,-5.52,-29.9,-86.49,-56.59,1.18,0.25,1.68,-0.41,1.32,-13.62,-4.46,-4.51,0.33,0.67,0.81,-2.41,0.0,12112410.56,3.19,-0.43,0.0,682242784.3
