TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;21,12;;-18,38;2,17;0,97;30,55;-0,34;-12,41;-664,90;-818,31;-151,83;0,50;2,28;-26,79;-1,18;0,83;-11,83;-5,26;-1,68;0,45;0,54;0,42;3,62;;12.002.816,48;9,68;-1,15;0,04;2.495.978.417,60
ABCB4;18,23;7,70;5,13;0,79;0,07;35,76;27,56;19,63;3,65;3,67;;;1,01;1,09;-0,08;3,58;15,37;1,41;;0,09;0,91;0,07;13,58;13,36;19.200.351,12;23,02;3,54;0,13;4.126.144.653,50
ABEV3;13,54;5,63;14,74;2,56;1,54;49,29;22,15;18,14;12,07;11,38;-0,66;-0,14;2,67;-78,24;-2,13;0,93;17,35;10,48;19,52;0,60;0,40;0,58;10,72;14,74;445.236.476,24;5,29;0,92;1,05;212.627.927.488,50
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;1,32;1,59;-10,74;1,13;0,26;11,93;8,65;-3,76;4,67;7,84;3,54;0,85;0,40;0,79;-0,85;1,95;-10,48;-2,46;7,31;0,23;0,77;0,65;;;9.693.608,88;1,15;-0,12;0,05;919.456.147,20
AESB3;10,06;1,07;40,41;1,09;0,32;31,84;24,53;5,26;8,67;18,86;10,19;1,28;2,13;2,06;-0,43;2,60;2,69;0,79;3,82;0,29;0,71;0,15;;;20.598.322,48;9,26;0,25;;6.049.369.475,55
AFLT3;8,73;2,71;14,69;2,11;1,83;61,82;53,18;52,03;14,37;13,82;-0,55;-0,08;7,64;11,46;-2,37;3,34;14,38;12,47;13,28;0,87;0,13;0,24;24,96;24,53;2.932,73;4,13;0,59;-0,24;550.729.431,00
AGRO3;26,75;19,72;19,21;1,33;0,81;23,11;15,40;11,02;13,75;16,63;2,84;0,27;2,12;4,29;-1,30;1,99;6,92;4,22;4,74;0,61;0,39;0,38;59,78;39,06;11.950.698,16;20,04;1,39;-0,24;2.737.561.193,92
AGXY3;9,05;1,86;-23,42;1,23;0,20;12,49;4,37;-0,61;3,29;6,10;2,81;1,05;0,14;8,25;-0,99;1,03;-5,23;-0,84;15,21;0,16;0,84;1,37;;;511.996,68;7,35;-0,38;-0,02;1.539.133.150,89
AHEB3;20,00;;-5,16;-2,11;0,59;30,92;-3,68;-15,89;-22,32;-22,41;-0,11;;0,82;-172,95;-0,79;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;16.351,20;-9,47;-3,87;0,11;170.784.028,27
AHEB5;22,00;;-5,68;-2,32;0,65;30,92;-3,68;-15,89;-24,55;-22,41;-0,11;;0,90;-190,25;-0,87;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;;-9,47;-3,87;0,13;170.784.028,27
AHEB6;19,31;;-4,98;-2,04;0,57;30,92;-3,68;-15,89;-21,55;-22,41;-0,11;;0,79;-166,99;-0,77;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;1.931,00;-9,47;-3,87;0,11;170.784.028,27
ALLD3;4,79;19,07;6,12;0,30;0,11;13,67;3,61;1,36;2,31;3,99;1,70;0,22;0,08;0,41;-0,38;1,59;4,91;1,76;7,51;0,36;0,64;1,29;;;127.648,84;16,15;0,79;-0,08;447.458.793,60
ALPA3;9,24;;51,96;1,10;0,74;46,10;4,81;2,90;31,38;35,05;3,12;0,11;1,51;2,77;-1,34;2,52;2,11;1,43;1,62;0,68;0,32;0,49;2,36;-19,63;128.455,64;8,43;0,18;-0,63;6.420.623.253,04
ALPA4;9,49;;52,75;1,11;0,75;46,10;4,81;2,90;31,86;35,05;3,12;0,11;1,53;2,81;-1,36;2,52;2,11;1,43;1,62;0,68;0,32;0,49;2,36;-19,63;66.859.802,24;8,43;0,18;-0,64;6.420.623.253,04
ALPK3;1,34;;-1,74;0,63;0,11;29,84;6,40;-15,39;4,19;22,70;18,45;2,77;0,27;-0,77;-0,13;0,44;-36,11;-6,36;3,53;0,18;0,82;0,41;;;404.894,56;2,14;-0,77;0,14;293.764.336,51
ALSO3;16,88;2,29;34,41;1,43;0,81;70,92;55,69;26,63;16,45;12,21;-4,36;-0,38;9,16;4,16;-1,09;3,98;4,17;2,34;7,18;0,56;0,35;0,09;22,33;24,54;57.061.705,28;11,69;0,49;0,46;10.000.955.617,12
ALUP11;26,82;4,58;8,56;0,76;0,28;81,93;74,76;23,96;2,74;5,88;3,14;0,87;2,05;2,79;-0,35;2,10;8,86;3,29;11,93;0,37;0,63;0,14;20,04;22,65;27.286.191,88;35,39;3,13;-0,48;7.865.115.352,45
ALUP3;8,97;4,58;8,58;0,76;0,28;81,93;74,76;23,96;2,75;5,88;3,14;0,87;2,05;2,80;-0,35;2,10;8,86;3,29;11,93;0,37;0,63;0,14;20,04;22,65;128.637,44;11,80;1,04;-0,49;7.865.115.352,45
ALUP4;8,93;4,59;8,55;0,76;0,28;81,93;74,76;23,96;2,74;5,88;3,14;0,87;2,05;2,79;-0,35;2,10;8,86;3,29;11,93;0,37;0,63;0,14;20,04;22,65;203.090,36;11,80;1,04;-0,48;7.865.115.352,45
AMAR3;0,72;;-0,91;0,24;0,07;43,55;-1,08;-9,30;-7,87;-58,60;-50,85;1,57;0,08;0,55;-0,12;1,36;-26,59;-7,23;-3,01;0,27;0,73;0,78;-2,41;;10.433.804,88;2,84;-0,76;0,00;233.133.180,16
AMBP3;21,45;1,44;25,78;2,30;0,30;21,94;17,50;2,81;4,14;9,51;5,36;2,98;0,72;1,08;-0,56;2,37;8,92;1,14;7,78;0,13;0,84;0,41;;;19.207.642,64;9,15;0,82;-0,81;2.378.423.483,28
AMER3;1,03;;21,46;0,06;0,02;30,68;4,18;0,15;0,79;8,45;7,64;0,59;0,03;0,10;-0,04;1,84;0,28;0,10;1,24;0,35;0,65;0,65;21,42;;135.842.211,60;16,74;0,05;-0,56;938.630.683,12
ANIM3;3,37;;-3,59;0,50;0,13;56,74;10,86;-10,54;3,49;13,42;9,99;1,43;0,38;4,15;-0,16;1,18;-13,91;-3,57;3,94;0,26;0,71;0,34;22,51;;17.354.230,80;6,66;-0,93;0,00;1.324.689.680,40
APER3;26,02;0,27;15,16;0,64;0,39;100,00;7,85;8,96;17,31;9,37;-7,95;-0,29;1,36;3,55;-0,54;1,60;4,21;2,55;1,93;0,61;0,39;0,28;4,50;;1.131.254,60;40,77;1,72;0,00;298.827.888,02
APTI3;197,64;;0,61;0,02;0,01;101,56;-8,62;16,21;-1,14;-7,12;6,69;-0,09;0,10;0,02;-0,01;6,73;2,49;1,19;-6,40;0,48;0,52;0,07;-6,46;;;13.091,31;325,57;0,00;44.442.750,00
APTI4;3.500,00;;10,75;0,27;0,13;101,56;-8,62;16,21;-20,21;-7,12;6,69;-0,09;1,74;0,37;-0,22;6,73;2,49;1,19;-6,40;0,48;0,52;0,07;-6,46;;;13.091,31;325,57;-0,07;44.442.750,00
ARML3;13,41;3,10;36,71;3,98;1,31;45,97;33,61;14,73;16,09;20,16;3,64;0,90;5,41;5,93;-1,99;2,79;10,85;3,56;7,87;0,33;0,67;0,24;;;5.373.336,96;3,29;0,36;0,17;4.657.375.911,86
ARZZ3;74,94;2,48;18,02;3,27;1,95;53,58;13,23;10,03;13,66;13,16;-0,60;-0,14;1,81;10,74;-4,08;1,53;18,17;10,80;18,34;0,59;0,41;1,08;18,73;31,28;96.334.987,68;22,62;4,11;0,31;8.219.881.344,20
ASAI3;17,68;0,93;19,34;6,06;0,58;16,44;5,23;2,24;8,28;10,72;2,37;1,73;0,43;-10,55;-0,89;0,86;31,31;3,00;16,59;0,10;0,90;1,34;;;222.082.639,08;2,89;0,90;-0,80;23.813.825.909,60
ATMP3;1,10;;-0,06;-0,11;0,02;-0,79;-46,26;-58,02;-0,08;-0,78;-0,71;;0,04;-0,04;-0,03;0,35;-172,50;-29,60;-459,43;-0,17;1,17;0,51;-12,49;;7.335,04;-10,30;-17,77;0,00;29.381.391,60
ATOM3;2,67;2,52;6,51;2,78;1,86;97,47;26,26;27,93;6,92;4,44;-2,51;-1,01;1,82;2,10;-92,65;10,55;42,73;28,61;37,08;0,67;0,33;1,02;;19,78;51.849,32;0,99;0,42;0,10;65.463.469,50
AURA33;36,80;3,96;7,58;1,61;0,69;32,01;22,45;16,94;5,72;6,75;0,98;0,28;1,28;5,78;-1,04;1,54;21,24;9,06;11,82;0,43;0,57;0,53;32,13;79,00;3.193.066,72;22,87;4,86;0,50;2.628.082.389,00
AURE3;14,76;0,68;5,52;0,97;0,46;20,72;25,22;48,49;10,60;12,43;1,90;0,17;2,67;7,13;-0,57;1,49;17,53;8,28;4,81;0,47;0,53;0,17;;;62.905.305,04;15,25;2,67;0,00;14.650.000.000,00
AVLL3;7,49;;-0,39;-0,91;0,10;10,42;-84,66;-176,29;-0,81;-4,96;-4,15;;0,68;-0,22;-0,15;0,45;-235,40;-24,62;-27,54;-0,10;1,10;0,14;;;32.884,00;-8,19;-19,28;0,02;167.894.297,06
AZEV3;1,54;;10,20;0,95;0,24;5,05;-3,09;3,59;-11,84;-15,26;-3,09;0,25;0,37;-3,67;-0,35;0,83;9,28;2,33;-25,37;0,25;0,75;0,65;-8,87;;294.871,76;1,62;0,15;-0,11;121.389.960,41
AZEV4;1,57;;10,40;0,97;0,24;5,05;-3,09;3,59;-12,08;-15,26;-3,09;0,25;0,37;-3,75;-0,36;0,83;9,28;2,33;-25,37;0,25;0,75;0,65;-8,87;;818.646,04;1,62;0,15;-0,12;121.389.960,41
AZUL4;9,85;;-16,81;-0,64;0,65;17,47;8,96;-4,53;8,49;18,21;15,77;;0,76;-1,19;-0,88;0,32;-3,80;-3,86;33,94;-1,02;2,02;0,85;15,41;;178.821.657,96;-15,03;-0,57;0,20;3.476.561.046,65
B3SA3;11,26;4,69;15,99;3,33;1,42;89,92;55,17;41,80;12,12;11,48;-0,50;-0,14;6,68;8,64;-2,22;1,84;20,84;8,88;12,39;0,43;0,57;0,21;22,44;26,66;516.435.260,28;3,33;0,69;-1,54;66.845.040.000,00
BAHI3;10,81;;-2,82;1,93;0,40;37,63;-14,35;-27,44;-5,39;-7,94;-2,55;0,92;0,77;-2,01;-0,43;0,22;-68,60;-14,37;-20,11;0,21;0,77;0,52;;;56.216,23;5,59;-3,84;-0,02;258.334.396,44
BALM3;10,30;3,47;3,92;0,74;0,44;57,07;15,53;17,43;4,40;3,19;-0,83;-0,14;0,68;0,99;-1,41;2,93;18,90;11,35;12,70;0,60;0,40;0,65;3,42;53,56;1.030,00;13,90;2,63;0,02;92.365.000,00
BALM4;8,55;4,18;3,25;0,62;0,37;57,07;15,53;17,43;3,65;3,19;-0,83;-0,14;0,57;0,82;-1,17;2,93;18,90;11,35;12,70;0,60;0,40;0,65;3,42;53,56;5.242,45;13,90;2,63;0,01;92.365.000,00
BAUH4;80,15;;45,93;3,89;2,53;20,99;1,84;4,97;123,98;123,95;-0,03;0,00;2,28;90,13;-3,68;1,10;8,46;5,51;-1,98;0,65;0,35;1,11;5,51;3,46;31.122,00;20,62;1,75;-0,86;418.561.093,30
BAZA3;61,20;11,23;3,01;0,77;0,11;35,57;61,66;39,79;1,94;1,93;;;1,20;1,11;-0,12;;25,51;3,49;;0,14;0,86;0,09;-2,61;54,23;254.088,24;79,74;20,34;0,03;3.410.027.301,45
BBAS3;38,73;10,78;3,72;0,68;0,06;31,43;16,19;12,62;2,90;2,90;;;0,47;1,68;-0,06;24,89;18,30;1,49;;0,08;0,92;0,12;9,97;22,94;711.213.245,60;56,91;10,42;0,05;110.920.292.844,20
BBDC3;11,78;7,82;5,89;0,79;0,07;36,23;11,76;10,30;5,16;5,50;;;0,61;1,19;-0,07;8,86;13,37;1,18;;0,09;0,91;0,11;8,37;4,42;99.259.507,52;14,89;1,99;1,71;133.270.027.498,95
BBDC4;13,39;7,59;6,67;0,89;0,08;36,23;11,76;10,30;5,85;5,50;;;0,69;1,35;-0,08;8,86;13,37;1,18;;0,09;0,91;0,11;8,37;4,42;729.447.875,80;14,89;1,99;1,94;133.270.027.498,95
BBML3;3.936,42;;2.256,74;2.343,69;151,18;7,00;2,14;4,36;4.591,02;4.602,50;11,48;5,86;98,33;-1.805,14;-242,48;0,82;103,85;6,70;5,91;0,06;0,94;1,54;41,29;87,05;;1,68;1,74;4,59;160.451.699.191,56
BBSE3;34,88;8,36;11,54;9,18;4,32;;;;9,90;9,90;;;;97,85;-7,83;1,11;79,57;37,47;;0,47;0,53;0,00;;8,34;228.831.480,32;3,80;3,02;0,21;69.760.000.000,00
BDLL3;11,40;;3,31;-0,09;0,03;-49,16;-112,68;21,92;-0,64;-6,60;-6,04;;0,73;-0,18;-0,05;0,74;-2,79;0,80;-357,89;-0,29;1,29;0,04;-39,65;;1.928,33;-123,47;3,44;-0,03;15.738.123,84
BDLL4;8,88;;2,58;-0,07;0,02;-49,16;-112,68;21,92;-0,50;-6,60;-6,04;;0,57;-0,14;-0,04;0,74;-2,79;0,80;-357,89;-0,29;1,29;0,04;-39,65;;3.703,60;-123,47;3,44;-0,02;15.738.123,84
BEEF3;11,89;4,73;11,05;6,78;0,34;18,52;7,82;2,11;2,97;5,72;2,76;6,30;0,23;1,48;-0,86;1,60;61,42;3,05;14,54;0,05;0,95;1,45;20,68;;122.037.303,76;1,75;1,07;1,23;7.153.798.534,46
BEES3;6,43;9,16;5,88;1,02;0,06;26,05;10,64;7,23;4,00;4,07;;;0,43;0,46;-0,06;;17,36;0,94;;0,05;0,95;0,13;12,53;15,62;115.093,44;6,31;1,09;0,16;2.073.735.003,20
BEES4;7,20;8,19;6,58;1,14;0,06;26,05;10,64;7,23;4,47;4,07;;;0,48;0,51;-0,07;;17,36;0,94;;0,05;0,95;0,13;12,53;15,62;41.995,08;6,31;1,09;0,18;2.073.735.003,20
BFRE11;0,00;;0,00;0,00;0,00;0,00;145,59;123,55;0,00;;;;0,00;0,00;0,00;;7,60;6,90;;0,91;0,09;0,06;;7,82;;288.910,74;21.963,74;0,00;
BFRE12;0,00;;0,00;0,00;0,00;0,00;145,59;123,55;0,00;;;;0,00;0,00;0,00;;7,60;6,90;;0,91;0,09;0,06;;7,82;;288.910,74;21.963,74;0,00;
BGIP3;24,49;9,16;4,96;0,63;0,05;35,90;8,36;7,03;4,17;3,58;;;0,35;-0,28;-0,10;0,75;12,68;0,97;;0,08;0,92;0,14;8,79;-2,49;2.640,00;38,96;4,94;-0,50;321.674.719,05
BGIP4;17,56;14,05;3,55;0,45;0,03;35,90;8,36;7,03;2,99;3,58;;;0,25;-0,20;-0,07;0,75;12,68;0,97;;0,08;0,92;0,14;8,79;-2,49;171.321,39;38,96;4,94;-0,36;321.674.719,05
BIDI11;10,40;0,43;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;189.680.308,83;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;0,43;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;9.796.295,50;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;0,43;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;44.223.197,08;3,22;-0,01;0,12;8.991.139.764,53
BIOM3;4,11;;-3,39;2,33;0,89;15,93;-89,58;-99,43;-3,76;-4,88;-1,01;0,62;3,37;4,25;-1,53;2,03;-68,84;-26,40;-28,71;0,38;0,62;0,27;;;49.434,00;1,80;-1,24;-0,09;351.976.277,92
BLAU3;28,91;2,94;14,30;2,85;2,08;47,47;32,14;25,78;11,47;10,67;-0,73;-0,18;3,69;3,97;-6,32;4,52;19,95;14,52;16,16;0,73;0,27;0,56;;;7.355.748,68;10,13;2,02;1,24;5.155.781.806,86
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-1,08;-0,14;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;254.063,54;11,21;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,32;-0,04;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;224.305,00;11,21;-0,91;0,06;14.115.600,06
BMEB3;11,50;2,21;6,28;0,94;0,08;55,58;4,06;5,83;9,02;8,59;;;0,37;0,62;-0,09;;14,97;1,28;;0,09;0,91;0,22;-4,80;63,55;7.628,90;12,25;1,83;-24,97;1.148.033.207,80
BMEB4;10,05;2,78;5,48;0,82;0,07;55,58;4,06;5,83;7,88;8,59;;;0,32;0,54;-0,08;;14,97;1,28;;0,09;0,91;0,22;-4,80;63,55;25.512,58;12,25;1,83;-21,82;1.148.033.207,80
BMGB4;2,10;17,48;20,20;0,30;0,03;41,43;-3,97;0,96;-4,86;-4,86;;;0,19;;-0,03;;1,46;0,14;;0,09;0,91;0,14;19,34;37,39;2.240.739,04;7,08;0,10;-0,27;1.218.955.738,99
BMIN3;18,50;;13,48;0,67;0,30;53,21;31,64;16,18;6,89;6,63;;;2,18;30,71;-0,30;;5,00;2,22;;0,44;0,56;0,14;-10,02;-12,74;5.312,20;27,44;1,37;0,18;85.829.107,88
BMIN4;13,66;;9,95;0,50;0,22;53,21;31,64;16,18;5,09;6,63;;;1,61;22,67;-0,22;;5,00;2,22;;0,44;0,56;0,14;-10,02;-12,74;2.357,00;27,44;1,37;0,13;85.829.107,88
BMKS3;375,50;4,76;7,50;0,87;0,79;27,02;58,86;126,97;16,18;1,72;-14,46;-0,78;9,52;1,02;-3,77;25,81;11,66;10,49;3,03;0,90;0,11;0,08;-1,89;7,47;5.826,83;429,20;50,06;0,02;170.758.625,00
BMOB3;13,48;1,52;13,81;1,17;0,88;21,73;6,83;6,16;12,46;7,46;-5,10;-0,48;0,85;2,05;-2,39;3,11;8,48;6,36;4,58;0,75;0,25;1,03;;;5.126.444,32;11,34;0,96;0,31;1.215.454.560,04
BNBR3;77,00;5,74;3,30;0,74;0,11;45,53;40,10;24,51;2,02;2,02;;;0,81;1,84;-0,11;;22,40;3,19;;0,14;0,86;0,13;8,76;22,98;20.912,57;104,16;23,33;0,13;6.650.602.728,00
BOAS3;7,56;3,55;15,26;1,81;1,51;53,72;6,31;25,64;61,99;41,49;-20,33;-0,59;3,91;3,22;-3,80;5,27;11,84;9,89;-1,31;0,84;0,14;0,39;6,65;;12.654.586,16;4,16;0,49;0,31;3.991.669.657,50
BOBR3;0,00;;0,00;0,00;0,00;34,71;10,72;1,54;0,00;3,26;2,34;;0,00;0,00;0,00;0,65;-14,51;2,61;61,29;-0,18;1,18;1,70;6,05;-29,19;;-0,60;0,09;0,00;145.015.465,16
BOBR4;1,18;;13,61;-1,97;0,36;34,71;10,72;1,54;1,95;3,26;2,34;;0,21;-1,40;-0,68;0,65;-14,51;2,61;61,29;-0,18;1,18;1,70;6,05;-29,19;20.804,42;-0,60;0,09;-0,21;145.015.465,16
BPAC11;19,66;3,37;9,55;1,77;0,20;17,34;19,52;15,80;7,73;7,76;;;1,51;7,20;-2,34;1,03;18,51;2,12;;0,11;0,89;0,13;46,00;30,57;330.400.550,20;11,05;2,04;0,94;75.134.963.129,84
BPAC3;10,27;2,13;15,07;2,79;0,32;17,34;19,52;15,80;12,20;7,76;;;2,38;11,37;-3,70;1,03;18,51;2,12;;0,11;0,89;0,13;46,00;30,57;97.579,28;3,68;0,68;1,48;75.134.963.129,84
BPAC5;5,00;4,42;7,28;1,35;0,15;17,34;19,52;15,80;5,89;7,76;;;1,15;5,49;-1,78;1,03;18,51;2,12;;0,11;0,89;0,13;46,00;30,57;50.677,24;3,68;0,68;0,71;75.134.963.129,84
BPAN4;5,10;5,51;9,64;0,90;0,12;52,60;6,81;5,66;8,01;8,01;;;0,55;;-0,12;;9,38;1,20;;0,13;0,87;0,21;8,24;43,43;17.755.290,24;5,60;0,52;-0,43;6.442.388.301,14
BPAR3;182,07;5,69;7,28;1,02;0,11;55,65;14,23;8,39;4,30;4,30;;;0,61;1,27;-0,12;;14,01;1,56;;0,11;0,89;0,19;4,66;0,56;;178,47;25,00;0,30;1.733.606.633,43
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;25,75;11,58;1,70;1,29;1,27;;;;1,71;1,69;-0,14;-0,11;;12,66;-1,43;9,56;75,82;74,92;74,47;0,99;0,01;0,00;;56,67;1.896.285,60;19,93;15,11;0,19;10.828.883.299,74
BRAP4;28,50;11,46;1,89;1,43;1,42;;;;1,90;1,69;-0,14;-0,11;;14,07;-1,59;9,56;75,82;74,92;74,47;0,99;0,01;0,00;;56,67;66.752.511,24;19,93;15,11;0,21;10.828.883.299,74
BRBI11;10,72;12,95;7,58;1,39;0,14;36,49;17,71;22,54;9,64;2,11;-7,52;-1,09;1,71;1,33;-12,98;1,12;18,37;1,88;0,40;0,10;0,90;0,08;;;726.494,36;7,66;1,41;0,36;1.118.204.247,60
