TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;19,80;;-72,50;2,02;0,92;31,73;5,79;-2,87;35,91;46,43;10,43;0,59;2,08;-29,51;-1,12;0,85;-2,79;-1,27;2,70;0,46;0,53;0,44;3,62;;9.052.344,33;9,80;-0,27;1,43;2.346.929.469,44
ABCB4;16,52;6,16;5,98;0,77;0,08;37,27;26,57;19,79;4,46;4,46;;;1,18;-2,33;-0,08;0,18;12,94;1,40;;0,11;0,89;0,07;7,15;9,74;13.105.382,46;21,31;2,76;0,08;3.730.486.947,00
ABEV3;14,12;4,27;16,55;2,82;1,75;50,27;22,97;18,03;12,99;12,32;-0,66;-0,14;2,98;171,23;-2,40;1,04;17,05;10,56;20,02;0,62;0,37;0,59;9,82;1,41;294.868.729,33;5,01;0,85;3,92;222.550.564.104,63
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;3,58;0,58;57,88;2,76;0,88;11,08;8,41;2,02;13,90;17,61;3,71;0,73;1,17;2,23;-2,43;2,65;4,76;1,53;7,66;0,32;0,68;0,76;;;9.338.665,75;1,30;0,06;-0,96;2.743.044.172,48
AESB3;10,77;0,56;10,98;1,62;0,42;22,78;14,53;25,41;19,20;34,58;15,34;1,30;2,79;2,84;-0,54;2,91;14,79;3,81;-2,70;0,26;0,64;0,15;;;14.871.813,58;6,63;0,98;;5.309.829.081,05
AFLT3;9,58;4,45;5,90;2,36;2,16;87,03;84,24;81,52;5,71;5,52;-0,19;-0,08;4,81;10,29;-2,81;10,78;39,98;36,56;39,43;0,91;0,09;0,45;30,86;48,28;3.917,44;4,06;1,62;0,01;604.351.426,00
AGRO3;32,73;14,27;4,12;1,35;0,95;39,85;35,81;58,48;6,73;6,90;0,14;0,03;2,41;2,33;-1,95;4,91;32,67;23,09;14,65;0,71;0,29;0,39;55,29;151,67;23.108.383,13;24,12;7,88;0,01;3.338.514.230,88
AGXY3;10,29;1,63;19,89;1,26;0,20;11,21;3,14;1,04;6,59;10,49;3,84;0,73;0,21;4,87;-1,12;1,05;6,32;0,99;7,19;0,16;0,84;0,95;;;637.863,79;8,20;0,52;;1.779.996.385,38
AHEB3;27,50;;-6,89;-3,99;0,78;39,70;-3,15;-17,13;-37,41;-35,38;2,32;;1,18;26,04;-1,09;1,12;-57,95;-11,38;10,67;-0,20;1,20;0,66;-1,24;;4.125,00;-6,89;-3,99;0,25;236.820.517,90
AHEB5;22,00;;-5,51;-3,19;0,63;39,70;-3,15;-17,13;-29,93;-35,38;2,32;;0,94;20,83;-0,87;1,12;-57,95;-11,38;10,67;-0,20;1,20;0,66;-1,24;;2.348,50;-6,89;-3,99;0,20;236.820.517,90
AHEB6;41,20;;-10,32;-5,98;1,17;39,70;-3,15;-17,13;-56,04;-35,38;2,32;;1,77;39,02;-1,64;1,12;-57,95;-11,38;10,67;-0,20;1,20;0,66;-1,24;;4.120,00;-6,89;-3,99;0,38;236.820.517,90
ALLD3;13,05;10,31;4,56;0,79;0,30;13,72;6,66;4,42;3,02;3,77;0,73;0,19;0,20;1,33;-1,01;1,48;17,24;6,66;19,90;0,39;0,61;1,51;;;1.191.335,46;16,45;2,84;0,16;1.211.867.566,00
ALPA3;18,53;2,13;21,42;2,34;1,42;48,45;13,31;14,87;23,93;22,60;-3,05;-0,30;3,18;8,51;-2,99;1,47;10,93;6,65;8,79;0,61;0,38;0,45;-0,53;10,32;67.920,21;7,91;0,87;0,15;13.571.717.403,36
ALPA4;21,59;2,02;24,96;2,73;1,66;48,45;13,31;14,87;27,88;22,60;-3,05;-0,30;3,71;9,92;-3,49;1,47;10,93;6,65;8,79;0,61;0,38;0,45;-0,53;10,32;125.870.445,58;7,91;0,87;0,18;13.571.717.403,36
ALPK3;3,53;;-3,74;1,48;0,30;26,64;0,11;-22,18;725,72;1.958,32;1.232,60;2,51;0,83;-1,45;-0,33;0,29;-39,61;-8,01;-0,09;0,20;0,80;0,36;;;58.544,58;2,39;-0,94;1,02;756.925.626,19
ALSO3;19,04;2,02;17,47;0,74;0,43;69,41;55,68;28,66;8,99;5,73;-3,24;-0,27;5,01;2,99;-0,54;3,64;4,23;2,48;6,45;0,58;0,32;0,09;22,33;24,57;35.705.856,29;25,69;1,09;0,10;5.036.394.143,10
ALUP11;26,94;4,56;6,46;1,12;0,30;78,20;77,23;24,89;2,08;4,19;2,10;1,13;1,61;3,99;-0,36;1,78;17,26;4,60;15,12;0,27;0,60;0,18;27,49;31,52;28.729.466,96;24,17;4,17;0,51;7.909.071.050,10
ALUP3;9,08;4,52;6,53;1,13;0,30;78,20;77,23;24,89;2,10;4,19;2,10;1,13;1,62;4,04;-0,36;1,78;17,26;4,60;15,12;0,27;0,60;0,18;27,49;31,52;105.006,92;8,06;1,39;0,52;7.909.071.050,10
ALUP4;9,01;4,55;6,48;1,12;0,30;78,20;77,23;24,89;2,09;4,19;2,10;1,13;1,61;4,00;-0,36;1,78;17,26;4,60;15,12;0,27;0,60;0,18;27,49;31,52;115.581,54;8,06;1,39;0,52;7.909.071.050,10
AMAR3;2,34;;-5,41;0,74;0,24;44,23;-0,85;-5,52;-35,31;-91,75;-56,59;1,18;0,30;1,98;-0,48;1,32;-13,62;-4,46;-4,51;0,33;0,67;0,81;-2,41;;13.687.825,17;3,19;-0,43;;802.235.233,80
AMBP3;32,77;0,93;23,21;3,58;0,62;21,59;16,99;6,58;8,98;14,50;5,51;2,19;1,53;2,92;-1,01;2,26;15,40;2,68;7,10;0,17;0,80;0,41;;;33.521.447,50;9,15;1,41;0,17;3.699.769.862,88
AMER3;19,71;3,14;31,43;1,17;0,41;30,11;4,29;2,15;15,76;22,81;7,24;0,54;0,68;2,04;-0,77;1,76;3,72;1,30;1,98;0,35;0,65;0,61;21,42;;217.605.551,17;16,90;0,63;-0,10;17.697.850.719,00
ANIM3;5,75;;-10,12;0,82;0,22;55,89;11,91;-7,33;6,23;16,13;9,93;1,30;0,74;2,52;-0,27;1,70;-8,06;-2,12;3,79;0,26;0,70;0,29;22,51;;12.747.581,42;7,06;-0,57;0,01;2.314.168.252,65
APER3;35,30;0,20;85,71;1,36;0,76;100,00;7,36;2,85;33,19;26,40;-6,79;-0,28;2,44;11,33;-1,03;1,34;1,58;0,88;3,83;0,56;0,44;0,31;4,50;;1.975.102,88;26,02;0,41;0,02;405.248.730,20
APTI3;197,64;;-0,35;0,02;0,01;99,60;-89,65;-42,25;-0,17;-1,48;0,53;-0,05;0,15;0,02;-0,01;4,14;-4,58;-2,07;-13,12;0,45;0,55;0,05;-6,46;;;12.267,55;-561,66;0,00;44.442.750,00
APTI4;3.500,00;;-6,23;0,29;0,13;99,60;-89,65;-42,25;-2,94;-1,48;0,53;-0,05;2,63;0,44;-0,21;4,14;-4,58;-2,07;-13,12;0,45;0,55;0,05;-6,46;;;12.267,55;-561,66;0,05;44.442.750,00
ARML3;13,83;1,33;61,02;4,21;1,49;47,20;32,46;14,69;27,62;30,51;2,75;0,42;8,96;3,68;-3,05;4,78;6,90;2,44;4,62;0,35;0,65;0,17;;;7.617.399,58;3,28;0,23;0,24;4.806.057.341,90
ARZZ3;82,18;1,65;20,35;3,61;2,24;52,81;16,73;11,78;14,33;13,64;-0,68;-0,17;2,40;10,74;-4,71;1,66;17,75;11,01;18,91;0,62;0,38;0,94;18,73;30,72;84.360.399,88;22,75;4,04;0,01;9.015.367.542,09
ASAI3;15,90;1,08;13,51;7,17;0,66;17,00;5,97;3,61;8,16;10,64;2,52;2,22;0,49;23,90;-1,06;1,08;53,08;4,88;17,75;0,09;0,91;1,35;;;101.224.048,75;2,21;1,18;4,52;21.285.967.785,80
ATMP3;1,85;;-0,28;0,65;0,03;8,42;-14,28;-17,46;-0,35;-2,61;-2,26;4,25;0,05;-0,08;-0,04;0,39;-229,65;-9,94;-42,78;0,04;0,96;0,57;-12,49;;35.848,75;2,85;-6,55;-0,04;49.414.158,60
ATOM3;2,75;2,51;6,29;2,68;1,79;100,00;29,38;30,89;6,61;4,77;-1,84;-0,75;1,94;2,04;-85,35;10,02;42,54;28,54;38,72;0,67;0,33;0,92;;;104.923,63;1,03;0,44;-0,32;65.463.469,50
AURA33;40,36;4,88;7,70;1,87;0,86;41,30;27,82;15,68;4,34;4,28;-0,04;-0,02;1,21;4,05;-1,59;1,86;24,29;11,16;16,45;0,46;0,54;0,71;;;6.136.615,25;21,48;5,22;-0,24;2.831.113.249,20
AURE3;13,96;0,72;528,86;1,09;0,49;28,70;30,66;1,46;25,14;27,94;3,00;0,13;7,71;5,86;-0,61;1,77;0,21;0,09;2,68;0,45;0,55;0,06;;;35.208.645,04;12,82;0,03;;13.800.000.000,00
AVLL3;19,84;;-1,13;-6,15;0,25;-4,59;-126,33;-204,76;-1,83;-5,32;-3,49;;2,31;-3,64;-0,38;0,83;-544,82;-22,10;-28,99;-0,04;1,04;0,11;;;67.616,38;-3,23;-17,57;-0,06;444.729.352,96
AZEV3;3,70;;7,54;1,70;0,44;18,34;24,69;18,16;5,54;5,15;0,35;0,11;1,37;-25,62;-0,63;0,95;22,53;5,87;22,51;0,26;0,74;0,32;-8,87;;144.650,46;2,18;0,49;-0,09;174.240.000,00
AZEV4;2,96;;6,05;1,36;0,36;18,34;24,69;18,16;4,45;5,15;0,35;0,11;1,10;-20,56;-0,51;0,95;22,53;5,87;22,51;0,26;0,74;0,32;-8,87;;762.027,38;2,18;0,49;-0,07;174.240.000,00
AZUL4;19,10;;19,52;-1,55;1,36;17,86;1,33;10,94;160,49;175,77;131,61;;2,13;-3,58;-1,90;0,43;-7,93;6,97;2,48;-0,88;1,88;0,64;8,38;;153.728.566,46;-12,37;0,98;-0,17;6.663.798.975,51
B3SA3;12,95;6,10;17,30;3,62;1,56;89,78;59,11;44,83;13,12;12,27;-0,85;-0,23;7,76;9,96;-2,55;1,67;20,92;8,99;11,60;0,43;0,57;0,20;34,69;25,83;534.264.751,63;3,58;0,75;4,23;78.921.060.000,00
BAHI3;13,38;;-6,45;1,88;0,45;38,28;-8,87;-17,07;-12,42;-14,75;-2,33;0,35;1,10;-2,86;-0,53;0,51;-29,13;-6,93;-10,35;0,24;0,75;0,41;;;90.130,14;7,12;-2,07;-0,27;316.919.549,70
BALM3;14,42;1,74;10,79;1,14;0,63;56,25;9,74;9,72;10,77;8,15;-1,55;-0,16;1,05;1,50;-2,02;2,56;10,56;5,84;6,60;0,55;0,43;0,60;3,42;34,15;1.925,00;12,66;1,34;-0,27;127.253.000,00
BALM4;11,55;2,18;8,64;0,91;0,50;56,25;9,74;9,72;8,63;8,15;-1,55;-0,16;0,84;1,20;-1,61;2,56;10,56;5,84;6,60;0,55;0,43;0,60;3,42;34,15;4.267,39;12,66;1,34;-0,22;127.253.000,00
BAUH4;78,89;;59,68;4,08;2,62;19,30;1,23;3,93;190,56;190,65;0,09;0,00;2,35;-36,61;-3,58;0,79;6,83;4,39;-1,10;0,64;0,36;1,12;5,51;-2,13;33.532,63;19,34;1,32;-0,88;411.981.093,58
BAZA3;41,47;16,57;1,45;0,38;0,04;34,74;81,54;46,32;0,82;0,82;;;0,67;0,33;-0,05;;26,37;2,86;;0,11;0,89;0,06;-2,61;45,40;143.093,29;108,62;28,64;0,01;1.229.418.251,49
BBAS3;36,75;8,11;5,16;0,71;0,05;31,08;16,23;13,82;4,40;4,40;;;0,71;2,68;-0,05;7,70;13,75;1,02;;0,07;0,92;0,07;-6,50;23,75;622.222.186,67;51,76;7,12;0,10;105.361.383.825,40
BBDC3;16,61;5,49;7,69;1,15;0,10;39,92;22,47;17,82;6,10;6,72;;;1,37;1,93;-0,11;5,37;15,00;1,36;;0,09;0,91;0,08;-5,09;5,20;143.667.000,75;14,43;2,16;0,40;195.285.409.069,29
BBDC4;20,04;5,01;9,28;1,39;0,13;39,92;22,47;17,82;7,36;6,72;;;1,65;2,33;-0,13;5,37;15,00;1,36;;0,09;0,91;0,08;-5,09;5,20;811.201.315,29;14,43;2,16;0,48;195.285.409.069,29
